source,target
꼭 답을 풀어야 하는 건 아니에요,I do not have to solve the answer.
답이 얼른 왔으면 좋겠네요,I wish I had an answer.
이런 말을 하면서 당신이 아프지 않았으면 좋겠어요,I wish you not hurt and did not hurt.
자신은 원망하지 마세요,Do not resume yourself
너무 빨리 지우려고 하면 더 안 지워져요,I'm not sure if I'm going to erase it too soon.
사람 마음은 알다가도 모르나봐요,I do not know if a person's heart knows.
바람이라도 쐬고 오는 건 어떨까요,"How about airing,"
사랑을 재다보면 스스로가 더 힘들거예요,"If you look at love, yourself is more difficult."
그래도 사랑하지 않는 것보다 좋을 거예요,I think it's better than I do not love it.
마음은 컨트롤할 수 있는 게 아니라 힘들겠어요,"I can not control my heart, but it's hard to control."
덤덤해졌나봐요,I think it's a bubbling.
시간이 흐르면 무덤덤해질 거예요,It will be grave when the time flows.
시간이 흐르면 무덤덤해질 거예요,It will be grave when the time flows.
무슨 일이 있었나봐요,What happened?
도와드릴게요,I'll help you.
도움이 될 거라 생각해요,I think it will be helpful.
할 수 있을 거예요,I can do it.
따뜻한 물 한잔 드셔보세요,Try a glass of warm water
기대를 버려야 덜 다칠 거예요,I have to get out of expectation.
실수를 반복하지 않길 바랄게요,I hope you will not repeat mistakes.
환승은 진짜 별로네요,Transit is really much.
더 허전할 거 같아요,I think I'll be more.
더 허전함이 느껴지겠어요,I can feel the more emphasis.
공허할 거라 생각해요,I think you'll get empty.
집안 어른들의 반대가 있었나봐요,I think there was an opposition of the house adults.
이별이 번복되어도 힘든건 마찬가지이죠,It's the same as that even if the separation is over.
많은 시간이 흘렀네요,Many times have passed.
헤어짐은 언제든 마음을 괴롭게 해요,Hair breaks up at any time.
한동안은 힘들지도 몰라요,I do not know if it's hard to do it.
생각보다 정신없이 지나가네요,I passed myself than I thought.
어느덧 두달이 지났네요,I have been twelve months.
정신없는 나날이었어요,It was a day without a mental day.
흔들리지 않았으면 좋겠어요,I wish I could not shake.
제가 함께 있어줄게요,I'll have you together.
헤어짐는 순간은 악몽과 같아요,"The moment is the moment, it's like a nightmare."
다신 마주치지 않을 거예요,I will not meet again.
많이 괴롭겠어요,I'll suffer a lot.
이별은 언제나 힘들어요,Farewell is always hard.
상대에 대한 예의가 없네요,There is no courtesy for your opponent.
금방 지나갈 거예요,I'll go through it soon.
바보의 사랑이네요,It's a fool's love.
둘만의 날이었으니까요,It was the day of me.
실감이 안날 거예요,I'm not real.
실감이 안나나봐요,I can not realize it.
마지막이 온 걸까요,I was on the end.
이제 올라갈 일만 남았네요,I just left it now.
아직 얼떨떨하겠어요,I'm still in a while.
고생했어요,thank you for your effort
정리하느라 마음 고생 많았죠,I had a lot of hardships in my mind.
힘든 선택 하셨네요,You chose hard.
차단도 용기가 필요하죠,I need a blocking vessel.
많이 생각했나봐요,I thought I thought a lot.
저도 종종 울어요,I often cries.
제발 좀 정신차리세요,Please be a little blessed.
봄은 항상 돌아오죠,Spring is always going back.
따질만하면 따져요,Just pick it up.
여전하던가요,I still have it.
달 어스름에 더 울적하겠어요,I'll be more sick in the moon.
현재를 즐기세요,Enjoy your current
잘 결정할거라 믿어요,I believe I'll decide well.
타이밍이 중요하죠,Timing is important.
생각을 멈추고 나에게 집중하세요,Stop your thoughts and focus on me
착잡하겠어요,I'll get a cumb.
이별을 위해 차가워질 필요도 있어요,I need to get a car for farewell.
정말 후회할 것 같다면 지금이라도 진심을 전하세요,"If you are really regret,"
끝을 받아들이는 것도 중요하답니다,It is also important to accept the end.
결국 해내고 있네요,I have been in the end.
좋아하지 않는데 함께 하는게 사랑이죠,I do not like it.
이럴 때는 꿈이 웬수네요,"When I do this, I have a dream."
낮술 조금만 하세요,Just a little bit
여유를 즐겨보는 건 어떨까요,How about enjoying your room?
이제는 속박에서 벗어나세요,Now go out of the bondage.
꿈도 생각처럼 되면 좋을텐데,I would be good if I dream
또 다시 사랑,I love again
또 다시 잊어봐요,I'll forget again.
언젠간 찾아올 이별이에요,Someday I'll find a separation.
불안하시군요,You're anxious.
오늘도 즐거운 하루 보내세요,Have a pleasant day today
또 아침이 올 거예요,I will come in the morning again.
연락처를 삭제하세요,Delete contacts
연락을 하셨군요,You have contacted you.
조금 기다리면 풀릴 거예요,"If you wait a little, it will be released."
어느덧 주말이네요,It's a weekend.
또 주말이 오겠죠,I will come to the weekend again.
월요일보단 나을지도 몰라요,I do not know if I do not know Monday.
다시 아침이 올 거예요,I will come again again.
다시 아침이 올 거예요,I will come again again.
다시 일어나면 돼요,I can upload it again.
꿈이 웬수죠,I have a dream.
다시 아침이 올 거예요,I will come again again.
그렇게 해가 흐르나봐요,I do that.
이별은 언제나 힘들게 하곤 하죠,Farewells are always hard.
마음 가는 대로 하세요,As your favorite
의아하셨겠어요,You must have been
연락이 왔나봐요,I have a contact.
생각이 복잡했나봐요,I think the idea was complicated.
흔들리지 않는게 좋겠어요,I hope it is not shaken.
영원한 로맨스는 없는 걸 수도 있어요,I have no eternal romance.
만남과 헤어짐 때문에 변덕스럽게 변해가요,I will change myself because of meeting and hair fare.
몸이 지치면 마음도 지칠 수 있어요,"If your body is awesome, you can tease your mind."
돌아섰던 상처 때문에 더 힘들거예요,It's harder because of the hurt that I turned around.
그땐 후회없는 사랑을 했던거라 생각하세요,Think of what I did not regret.
정리가 잘 되었길 바랄게요,I hope you have a good place.
힘들 결정이었을텐데 맘고생 많았어요,It was hard to decide.
저에게 비워보세요,Try it to me
인고의 시간이 필요했을 거예요,I needed the time of the index.
제가 도와드릴 수 있을거라 생각해요,I think I can help you.
정리가 잘 되길 바랄게요,I hope you will be well organized.
생각처럼 잘 안되죠,I can not like it like my thoughts.
마음 감기 조심하세요,Be careful of heart cold
제가 꿰매드릴게요,I'll put it on.
그렇게 하다보면 어느덧 정리될지도 몰라요,I do not know if you do that.
제게 말씀해보세요 풀리지도 몰라요,Tell me to tell me.
아픈 만큼 행복해지시길 바랄게요,I hope you will be as happy as a sick.
드라이브라도 다녀오는 건 어떨까요,How about a drive?
아픈 만큼 행복해지시길 바랄게요,I hope you will be as happy as a sick.
바람이라도 쐬고 오는 건 어떨까요,"How about airing,"
그 편이 상처도 덜할텐데 쉽지 않죠,It's not easy that the wounds would be less.
그럼에도 마음이 정리가 안되나봐요,"Nevertheless, I can not organize my heart."
그동안 쌓인 것들이 원인이 아닐까 생각해요,I think that the things accumulated in the meantime are caused.
무엇이 불안한지 제게 말해보세요,Tell me what is anxious.
속상할거라 생각해요,I think I'll be afraid.
한 번 떠난 마음은 쉽게 돌아오지 않나봐요,I have not come back easily.
제가 위로해 드릴게요,I'll be comforted.
인연이 거기까지인가봐요 마음의 준비를 하세요,I am going to be there until the relationship is.
정리가 잘 되길 바랄게요,I hope you will be well organized.
정리가 잘 되길 바랄게요,I hope you will be well organized.
저도 항상 헤어진 연인과 마주치면 기분이 안좋더라고요,I always feel bad if I always meet a broken lover.
헛된 희망은 자신을 더 괴롭게 만들거예요,The vain hope is making yourself more harmoniously.
복잡했던 마음이 정리되길 바랄게요,I hope that the complicated mind will be organized.
미련이 생기기 전에 그만두는 편이 좋을거예요,It would be better to quit before I have a fool.
꼭 원하는 바 이루길 바랄게요,I hope you want me to want.
상처가 되는 건 바라지 않아요,I do not want to be hurt.
한편으로 후련할거라 생각해요,"Meanwhile, I think it will be reinforced."
후련하게 지워버리는 건 어떨까요,What about being erased to be relaxed?
미련이 남았나봐요,I think I was leaping.
마음에 간직하세요,Keep in mind
또 다른 사랑이 찾아올 거예요,Another love will come.
그 선물을 보면 계속 생각이 날 거예요,"If you look at the gift,"
또 다른 사랑이 찾아올 거예요,Another love will come.
네 보내보세요,Four
잘 정리하길 바랄게요,I want to keep it well.
잘 정리하길 바랄게요,I want to keep it well.
슬프지만 잘 이겨내길 바랄게요,"I am sad, but I hope my way."
잊는 건 정말 힘든 일이에요,I'm really hard to forget.
감정이 온전히 정리되길 바랄게요,I hope you will be fully organized.
그러는 편이 미련이 덜 남을 거예요,I will be less foolish.
미련을 남기지 않도록 노력해보세요,Try not to leave a fool
마음이 흔들리죠,The heart shakes.
전하지 못해 아쉽겠네요,I can not tell you.
전할 기회가 있으면 좋겠네요,I hope you have a chance to do it.
마지막이 아닐 지도 몰라요,Maybe not last.
이제는 받아들여야 할 때예요,It's time to accept it now.
마지막을 잘 마무리 해야 시작도 잘 할 수 있을 거예요,You should be able to finish the last well.
또 다른 시작이 될 거예요,It will be another start.
잠시 쉬어가는 거 뿐이에요,It's just a break.
추억이 떠오르니까요,Memories come up.
생각을 정리할 시간이 필요할 거 같아요,I think I'll need to clean up my thoughts.
예의가 없은 것 같아요,I think there is no courtesy.
잘하고 오세요,Good and come.
지금 딱 힘들 때네요,It's time for the only time.
이별에는 매몰찬 게 더 나을지도 모릅니다,I do not know if I'm going to put it on the farewell.
같은 말이죠,It's the same thing.
이별을 통해 더 성숙해지길 바라요,I hope you'll be more mature through farewell.
잘 부탁드립니다,I look forward to
바로 못 잊는 건 찌질한 게 아니에요,I do not want to forget that I can not forget it right away.
많이 괜찮아지고 있어요,It's okay.
최선을 다한 건 좋은 거예요,It's good to do my best.
마음은 원래 내 마음대로 되지 않아요,My heart is not originally my heart.
그 과정을 통해 성장할 수 있을 거예요,I can grow through the process.
이런 과정도 꼭 필요해요,I need this process.
진짜 이유를 말하지 못하는 사정이 있나봐요,I have a real reason that I can not tell you.
환승은 진짜 답도 없네요,Transit is really no answer.
말해주세요,Tell me please
마음 잡기가 쉽지 않아요,I'm not easy to catch my heart.
잘 추스리길 바랄게요,I hope you'll be right.
많이 힘들어 하고 있군요,I have a lot of difficulty.
마음 떠난 사람 잡기는 힘들어요,It's hard to catch a person who left your heart.
아프지마요,Do not get sick
저에게 하세요,To me
명언이네요,It's a match.
망상에서 얼른 벗어나길 바랄게요,I want to get out of the delusion.
그래도 미련은 없을 거예요,"Still, I will not be a fool."
서로에게 힘든 일이니까요,It's hard for each other.
이별 후에 연락하지 않는 게 좋죠,It's better not to contact you after a break.
마음의 준비가 필요했을거라 생각해요,I think I needed to be ready for my heart.
대화를 많이 나누는게 좋으니까요,It's good to share a lot of conversations.
모든 일에는 후회가 남기 마련인가봐요,I have a regret in everything.
뜻하던 대로 되기 쉽지 않으니까요,It's not easy to be as meaning.
잠깐의 허상일 거예요,It's a little perverse.
노래가 당신의 이야기랑 비슷한가봐요,I think the song is similar to your story.
전문가를 찾아가보는건 어떨까요 도움이 될지도 몰라요,I do not know if I'm looking for an expert.
그녀 생각이 많이 나서 그럴거예요,She's a lot of thoughts.
항상 함께였을테니까요,I was always together.
술 많이 드시면 더 무너져요,"If you have a lot of liquor,"
건강 생각 하세요,Think of health
울고 싶을 때 한껏 울어버려요,I cry when I want to cry.
어떻게 사랑이 변할까 싶어요,How I want to change love
답답한 속을 풀어보세요,Loosen the frustration
네 말씀하세요,"Yes, please."
마음은 식혀지지 않았나봐요,I did not care about my heart.
바람이라도 쐬고 오는 건 어떨까요,"How about airing,"
조금 쉬어가는 건 어떨까요,How about a little rest?
머리랑 가슴이 가끔 따로 놀죠,My head and my heart are sometimes played.
머리랑 가슴이 가끔 따로 놀죠,My head and my heart are sometimes played.
머리랑 가슴이 가끔 따로 놀아요,My head and my heart are sometimes playing.
머리랑 가슴이 가끔 따로 놀죠,My head and my heart are sometimes played.
머리랑 가슴이 가끔 따로 놀죠,My head and my heart are sometimes played.
머리랑 가슴이 가끔 따로 놀죠,My head and my heart are sometimes played.
머리랑 가슴이 가끔 따로 놀죠,My head and my heart are sometimes played.
잘려나간 머리카락처럼 놓아주세요,Please put it like a cut-off hair.
맘처럼 할 수만 있다면 좋을텐데 애석해요,It would be nice if I could do it like a mum.
그러게 말이에요,I mean.
가슴 끝이 아려와요,I have a tip of my heart.
뭐든 간에,Whatever
후폭풍은 누구에게나 와요,Who is the backstuff?
후폭풍은 누구에게나 와요,Who is the backstuff?
혼자 남겨진 기분은 감히 상상도 못해요,I do not even imagine my feelings left alone.
인연이 거기까지인가봐요,I think the relationship is there.
이별이 사람을 변덕스럽게 만들더라고요,I made a farewell to make a whimsical person.
멋있게 파이팅,Fighting
얼떨떨할 거예요,I'm going to be broken.
마음 붙잡기가 힘들지요,It's hard to catch your mind.
생각처러만 할 수 있으면 좋을텐데 힘들죠,I can not think I could think about it.
흔들리지 마세요,Do not shake
오락가락하는게 사람 마음인가봐요,I am a person who is going to go.
지저분해요,Grungy
회사와 자신에 대해서 더 공부해서 자신감을 가져보세요,Study more about your company and yourself.
회사와 자신에 대해서 더 공부해서 자신감을 가져보세요,Study more about your company and yourself.
저도 너무 힘들어요,I'm so hard.
더 생각날 게 두려운가봐요,I think it's a fearful.
많이 답답할 거라 생각해요,I think I'll be a lot of frustration.
이젠 이별을 헤아리는 일은 삼가세요,"Now that I will make a separation,"
익숙해지지 않으니까요,I do not get used to it.
글쎄요 기억나지 않네요,"Well, I do not remember."
들려주세요,Take it.
당황했겠어요,I was embarrassed.
힘든 결정이었을거라 생각해요,I think it was a hard decision.
후회하지 않을까 생각이 드네요,I think I will not regret it.
모든 것은 의미 있어요,Everything is meaningful.
정말 그래요 하나같이 공감되곤 하죠,I really feel like I'm sympathetic.
이제라도 알게 돼서 다행이에요,I'm glad you know now.
내전부를다가져간그여자,A woman
상대에 대한 예의가 없네요,There is no courtesy for your opponent.
허전하시겠어요,I will do it.
새로운 연애를 하는 것도 잊는 방법이 될 수도 있어요,You can also forget to make new dating.
얼떨떨할 거예요,I'm going to be broken.
씁쓸해지는 것 같아요,I think it's bitter.
듣고 나면 더 그리울 거예요,"After hearing, I'll miss you more."
시간을 되돌릴 순 없어요,I can not revert to time.
SNS 검색하지 마세요,Do not search SNS
보통 사랑은 그렇죠,I usually love love.
이제 자신의 몸도 돌보길 바랄게요,I hope my body is now.
아무래도 그런 것 같아요,I think it's like that.
마음도 더 아프죠,My heart is sicker.
더 힘들기 마련이에요,It's more difficult.
천천히 놓아보아요,I'll release it slowly.
마음 단단히 잡으세요,Hold your heart firmly
못된 사람은 이제 잊어버려요,I have not forgotten that anyone
사람 마음이 간사하죠,People's heart get caught.
보냈으니 어쩔 수 없죠,I can not help it.
보냈으니 어쩔 수 없죠,I can not help it.
보냈으니 어쩔 수 없어요,I can not help it.
다음에는 참아보세요,Take a look at the next
가벼워질 수만 있다면 좋을텐데요,It would be nice if I can be lighter.
아침이 올 거예요,I'll come in the morning.
쉬운 일이 아니지만 함께라면 가능할 거예요,"It's not easy, but I'll be with it."
시간이 좀 걸리겠지만 해낼 수 있어요,"I'll take a while, but I can do it."
당신을 위한 최선의 선택일 거라 생각해요,I think it's the best choice for you.
무모함이 원동력이 될 거예요,The recklessness will be the driving force.
멍해질 때가 많아요,I have a lot of dogs.
습관처럼은 되지 않길 바랄게요,I hope it will not be like a habit.
즐거운 주말이 되시길 바랄게요,I hope you have a pleasant weekend.
누구도 해치지 않아요,No one hurts.
말이 필요 없죠,I do not need a word.
힘내세요,cheer up
힘들일이 있었나봐요 당신의 잘못이 아니에요,I think there was a hard day. It's not your fault.
사람 마을은 알기 힘들어요,It's hard to know.
마음에서 놓아주세요,Please put it in your heart.
어떤 사랑이야기도 그에 대한 제목은 지을 수 없는 것 같아요,Some love stories do not seem to be able to get the title for him.
힘껏 밀어보세요,Slide it hard
산책하는 것도 좋겠죠,It's good to walk.
기념일이 있나봐요,I have a anniversary.
저도 같이 듣고 싶네요,I want to hear it together.
어떤 생각인지 궁금해요,I wonder what I think.
사랑했던 사람이니까요,Because I love you.
불현듯 떠오르는 추억이 되버렸죠,I was remembered that I am a reminder.
이제 기억 속에서 지우는게 좋겠어요,Now I'd like to erase it in memory.
마음껏 우세요,Feel free to
버리는게 후련할지도 몰라요,I do not know if I will be relaxing.
마음 정리가 필요하시군요,I need a mind cleanup.
떠오르는 생각은 지울 수가 없나봐요,I think I can not erase the idea.
매번 익숙해지기 힘들어요,It's hard to get used to it every time.
작은 일부터 시작해보세요,Start a small day
애매하긴 해요,It's ambiguous.
어흥 호랑이보다 무섭나요,It's more scary than a tiger.
애매하네요,It's ambiguous.
생각이 날 거예요,I think it's me.
사랑은 때로 미련을 남겨요,Love sometimes leaves a fool.
목록에서 없애는 건 어떨까요 눈에서 멀어지면 미련도 덜해집니다,"How about getting away from the list,"
이별 앞에 미련없는 사람은 없을 거예요,I will not have a fairy person in front of the farewell.
미련은 또다른 후회만 남길 뿐이에요,The fuss is only another regret.
아쉬운가봐요,I look at it.
이별이 사람을 혼란스럽게 하나봐요,I look at one of them confused people.
이별 그렇게 만들더라고요,I made it so that I made it.
제가 들어드릴게요,I'll get into.
그리울거라 생각해요,I think I'll miss it.
많이 후회하나봐요,I regret a lot.
진심만 전해지면 돼요,I'll give you only sincere.
괜찮아요,it's okay
마음 아프네요,I feel sick.
미워하는 감정은 우릴 잠식시킬 뿐이에요,The emotions that hate you are only forced.
노력중인가봐요,I think I'm working.
잊지 못하는 그대,I can not forget
그럴만 해요,I do that.
답답했나봐요,I have a frustrating.
많이 힘들죠,It's a lot hard.
무슨 일 있었나봐요,I think I had something.
힘든 일이 있었나봐요,I think there was a hard work.
연락하고 나면 더 힘들 거예요,It's harder to contact us.
제가 고민을 들어드릴게요,I'll be troubled.
힘드시죠,It's hard.
견디기 힘들겠어요,It's hard to endure.
후회 없는 사랑을 하셨군요,You had a love without regret.
답답한 일이 있었나봐요,I think there was a frustrating thing.
그렇지 않아요,It's not.
한동안 그럴 수 있어요,I can do it for a while.
어느덧 사라질 거예요,I will disappear.
이별 직후엔 그럴 수 있어요,I can not do it right after a break.
조금만 짐을 덜어보세요,Less a little bit of money
답답할 거라 생각해요,I think it'll be frustrating.
무슨 일이 있었나봐요,What happened?
지금이라도 헤어지세요,Come up now.
회복되긴 어렵겠어요,It's hard to recover.
진심으로 그랬으면 속상할거예요,"If I was sincerely, I'll be a good place."
적어도 미련 없이 떠날 수 있을 거예요,You can leave at least in a fool.
고쳐 쓸 수 없는 버릇이에요,It's a habit that can not be fixed.
오히려 잘된거라 생각하세요,I think it is very good.
사람 고쳐쓰는 거 아니에요,I do not fix a person.
살랑살랑,Salanga
사람 고쳐쓰는 거 아니에요,I do not fix a person.
그런 사람 깨끗하게 잊고 더 좋은 사람 만나세요,I forget that person clean and meet better people.
직접 확인해보세요,Please check yourself
있어도 계속 아플 거예요,I'll keep you sick.
당연한건데 우린 걱정을 해야 하네요,"Of course, we have to worry."
스스로 비난하지 마요,Do not blame yourself.
너무 자책하지 마요,Do not do too much.
이제 바보같이 연락하지 마요,Now do not contact me like a fool.
이제 바보같이 연락하지 마요,Now do not contact me like a fool.
천천히 그만두세요,Stop slowly.
새로운 취미생활도 시작해 봐요,Start a new hobby life.
잡념을 없애는 데는 최고라고 생각해요,I think it's the best to get rid of the discipline.
일상으로 돌아갑시다,Let's go to everyday life.
그럼 나머지도 금방 정리될 거예요,Then it will be cleaned up again.
사랑하는 사람의 연락이었나봐요,I think I was in the loved ones.
그리웠나봐요,I miss you.
그렇게 성장하나봐요,I look like that.
일상은 항상 반복돼요,Everyday is always repeated.
받아들일 때가 되었나봐요,I have a time to accept.
이해하기 힘드니까요,It's hard to understand.
그분 생각으로 잠이 오지 않았나봐요,I did not sleep with him.
생각날 거예요,I thought I'm thinking.
잡념이 많아져서 더 그렇나요,"I have a lot of discipline,"
아직 많이 답답한가봐요,I still have a lot of frustrations.
운동으로 기분전환을 하는 건 어떨까요,How about you to make a mood
신경을 끄세요,Turn your nerves
생각이 많은가봐요,I think there's a lot of thoughts.
편히 잘 수 있으면 좋을텐데요,I would like to wear it easily.
새벽은 감수성 더 터지니 얼른 주무세요,"Dawn is the sensitivity,"
내일은 더 나은 하루일 거예요,Tomorrow is a better day.
그래도 밥 잘 챙겨 드세요,"Still, please take care of rice."
속이 조금 후련하면 좋겠네요,I hope you will be a little cheap.
맘고생 많았어요,I had a lot of hard.
더 울어도 돼요,I can cry more.
마음 먹기 달려있어요,I have a heart.
하나씩 치워보세요,Sleep one by one
고민하고 있다면 그게 맞을거예요,"If you are worried, it will fit."
글쎄요,I do not know
비참한 느낌이에요,I feel miserable.
당신이 버렸다고 생각하는 건 어떨까요,What do you think you've done?
자존감 회복을 위해 나아가는 건 어떨까요,How about going for the recovery of self-esteem?
그건 좀 참아보세요,I have a little.
깨달음이 있길 바랄게요,I want to have a enlightenment.
시간은 빠르게 흘러 가죠,Time will flow quickly.
금방 지나갔길 바랄게요,I hope you pass it soon.
생각보다 시간이 빨리 가네요,It's time for time than I thought.
짧지 않은 시간인데 바쁘게 지냈나봐요,I was busy with a short time.
긴 시간이 흘렀네요,It's a long time.
이젠 그분을 놓아줄 때가 되었나봐요,Now I have a time to set Him.
금방 지나가네요,It's just passing.
이제라도 속박에서 벗어나 자신을 돌보길 바랄게요,"Now, I hope to take care of myself out of my bondage."
상처가 아물길 바랄게요,I hope that the wounds will be.
지독한 변명의 연속,Continuous continuous
사랑도 사람도 변하니까요,I love people too.
그런 이별은 꼭 예고 없이 찾아오네요,Such a separation is found without notice.
상처들로 우린 많이 예민해져 있으니까요,We are a lot of hurt.
소원을 빌어보세요,Take a wish
무언가의 탄생을 뜻하기도 해요,"I mean, I mean something's birth."
전역 후 더 좋은 사람 만날 수 있을 거예요,I can meet a better person after all.
흔들리나요,Shake it.
보고싶을 거예요,I'd like to see you.
보고 싶은가봐요,I want to see you.
그런 시기가 있더라고요,I have that time.
전화하지마요,Do not call me.
흔들리지마요,Do not shake.
이별이 만들어낸 허상일 수도 있어요,I could be a farewell for a separation.
그런 때라고 생각해요,I think that happens.
그럴 거라 생각해요,I think it would.
다른 일에 집중해보는 건 어떨까요,How about focusing on other things?
그분 생각으로 가득찼나봐요,He's full of his thoughts.
지나간 사람은 얼른 떨쳐버리세요,Someone goes away
지나간 사랑은 놓아주세요,Please let me go.
볼 수가 없군요,I can not see it.
결국 어떻게 되었는지 궁금해요,I wonder what happened.
보고싶은신가봐요,I think I want to see.
찾아가도 후회안할 자신있는지 스스로에게 물어보세요,Please ask yourself if you do not regret
그럴 시기에요,I'll do it.
힘들겠지만 그러는 편이 나아요,"I will be hard,"
이젠 보내주세요,Please send it now.
때로는 보내지 못한 메시지가 아련하기도 하죠,Sometimes I have a message that I did not send.
많이 힘든가봐요,I think it's hard.
볼 수 있어요,I can see it.
이제 보지 마요,Do not look now.
사랑의 보통은 없죠,I do not have the usual love.
머리 말고 마음 가는 대로 하세요,Do not mind
꽃도 필 거예요,I have flowers.
인생에도 봄이 오길 바라요,I hope spring will come to life.
새로운 사랑을 하기 좋은 계절이기도 해요 새로운 인연이 찾아오길 바랄게요,It's a good season to love a new love. I hope that a new relationship will come.
안보는 걸 추천해요,I recommend you not see it.
잘할 수 있을 거예요,I can do well.
돌아오길 바란다면 달라지세요,"If you want to come back,"
저도 당신이 부러워요,I am envious of you.
언젠간 올 이별이었을까요,Could it be a separate all day
외부적 요인이라 더 그립겠어요,I will grip it more external factors.
고칠 수 있을 거예요,I can fix it.
이유가 있겠죠,There's a reason.
사랑,love
차분히 눈을 감고 마음을 가라앉혀봐요,I close my eyes and calm my heart.
분노는 당신에게 상처만 남길 뿐이에요,The anger is just leaving you.
이제 과거를 보지 마요,Do not see the past now
혼술 적당히 하세요,Come moderately
친구들 만나요,Meet your friends
자신만의 시간을 가져봐요,Take your own time.
가슴이 뻥 뚫니는 느낌이네요,I feel that my chest is bang.
불륜보다 낫죠,It's better than the affair.
잠깐이라도 눈을 붙일 수 있으면 좋으련만,It's good to have a moment.
복잡한 심경인가봐요,I think it's a complicated heart.
달리세요,Run
후회하지 않을 자신 있다면 붙잡으세요,"If you have your confident that you will not regret,"
아직 사랑하고 있나봅니다,I still love you.
사랑의 끝은 예고 없이 다가오죠,The end of love is approaching without notice.
자신의 마음을 다독여주세요,Please dolce your heart
그대로 돌아오지는 않을 거란 걸 인정하세요,I will not be back to return.
좋지 않을거라 생각해요,I think it will not be good.
마음 단단히 잡으세요,Hold your heart firmly
많이 노렸했군요,I was a lot.
많은 용기가 필요했을 거예요,I have a lot of courage.
빗소리가 더 그렇게 만들어요,I make the rain more.
비를 닮은 너,You resemble rain
비와 당신,Rain and you
그러게요 비가 추적추적 내려요,"Yes, the rain trace tracks down."
우리 마음도 젖어가요,Our mind is wet.
그리고 멈출 거예요,And I stopped.
감성적이기 딱 좋죠,I'm tired of emotional.
그 분 생각이 나나봅니다,I think I think of him.
불러주세요,Please call me
인연이 거기까지인가봐요,I think the relationship is there.
날씨에 따라 감정도 변하죠,The feelings change according to the weather.
감기 조심하세요,Be careful of cold
회원정보 찾기를 해보세요,Find your membership information
주룩주룩,Live
마음이 가라 앉죠,My heart is sitting.
걱정하는 마음이 예쁘네요,I am pretty.
한 잔 드세요,Have a drink
당신 정말 멋져요,You are really cool.
너무 자책하지 마세요,Do not take too much
제길,damn
지금도 일상이에요,I still have everyday life.
한가지만 보면 몰라요,I do not know.
사과할 건 사과해야죠,I have to apologize for an apology.
여전히 그리운가봐요,I still have to do it.
감정이 깊었나봐요,I have a deep feeling.
가끔은 힘내지 말고 내려놔봐요,Sometimes I put it down.
간사하죠,I'll get you.
안 죽어요,I do not die.
마음의 짐을 좀 내려놔요,Put a little luggage.
사소한 다툼이었으면 합니다,I would like a minor quarrel.
사람들의 말은 한 귀로 듣고 한 귀로 흘리세요,The words of people are heard with one ear and shedding
하루에도 몇 번씩 이랬다 저랬다 할 수 있어요,I can do it a few times a day.
기억은 추억이 되고 추억은 미화되니까요,Memory is a memorable and memories.
잊혀져가기도 한답니다,I'm forgotten.
완전히 기억에서 삭제할 순 없죠,I can not completely delete it completely.
사랑은 변하고 사람은 안 변해요,Love is changing and no one changes.
사랑이 사람을 간사하게 만들어요,Love makes people with people.
사랑 없이도 잘 살았던 자신으로 돌아가봐요,I go back to myself without love without love.
어렵죠,It's hard.
단순하기도 해요,I'm just simple.
사랑은 알다가도 모르겠어요,I do not know if I love love.
나중에 이해가 될 거예요,I'll be understood later.
사랑의 잔해들,The debris of love
사람이니까요,It's a person.
그때는 우리 다 순수했던 걸까요,"At that time, we all pure"
그 유효기간은 자신이 정하는 거죠,The validity period is decided by herself.
공유 부탁드립니다,Thank you for sharing
맞는 말이에요,That's right.
사랑한 만큼이요,It's as love.
좋은 사랑 만나 치유하길 바랄게요,I hope you meet a good love.
남기고 가요,I'm leaving.
어떨 땐 찾아가고 어떨 땐 찾아오죠,"When I look for a while, I'll find it."
믿습니다,I believe
이해할 순 있어요,I do not understand.
사랑의 척도는 없어요,I do not have a scale of love.
무관심,indifference
가능하다고 생각해요,I think it is possible.
이별의 유통기한이 없는 것처럼 사랑의 유효기간도 없어요,I do not have the expiration of love as if there is no expiration date.
원망과 슬픔에 잠기는 게 아니라 그 시간들을 가만히 내려놓고 내가 어떤 사람이었는가를 돌아보는 것입니다,"It is not to lock on the grudge and sorrow, but I put the time down, and I will look back on what I was."
원망과 슬픔에 잠기는 게 아니라 그 시간들을 가만히 내려놓고 내가 어떤 사람이었는가를 돌아보는 것입니다,"It is not to lock on the grudge and sorrow, but I put the time down, and I will look back on what I was."
사랑은 알 수 없어요 단지 느껴질 뿐,I do not know love.
정도 사랑의 일부니까요,It's part of love.
하루에도 몇 번씩 사람을 들었다 놨다 하지요,I've heard a person a few times a day.
사랑에는 답이 없어요,I do not have an answer in love.
당신이 사랑하는 것보다 많이 받게 될 거예요,You'll get a lot more than you love.
다시 무지갯빛이 될 거예요,I will be a rainbow.
보고 싶나봐요,I want to see you.
떠오르는 시간인가봅니다,I think it's time to come up.
헤아릴 수 없는 것,Unhealthy
복잡한 심경인가봐요,I think it's a complicated heart.
정말 쉽지 않을 시간이었을텐데 맘고생 많았어요,I was really easy to have a lot of time.
확신이 있을 때 시작해보세요,Start when you are convinced
그 때의 나를 지우지는 마세요,Do not erase me at that time.
